plan_type,billing_cycle,industry,region,monthly_fee,num_seats,tenure_months,support_tickets_last_90d,days_since_last_login,feature_adoption_score,nps_score,late_payments_last_12m,churn
growth,monthly,fintech,europe,735.25,73,49,3,15,0.45264445050575675,68.65045823948078,3,1
growth,monthly,fintech,europe,1611.0,446,62,3,2,0.8656340795847565,18.285001138244358,2,0
growth,monthly,retail,europe,963.01,312,6,0,22,0.6652039723899996,83.83510622587693,1,0
starter,monthly,edtech,europe,1482.53,305,52,3,11,0.6974626181719816,13.720214686999942,2,1
starter,monthly,logistics,north_america,396.21,128,17,3,11,0.6079902959085979,43.4237780020309,2,0
growth,monthly,logistics,north_america,1074.84,385,34,5,20,0.5072611576614028,34.87923506578736,0,0
growth,monthly,retail,europe,698.26,82,64,4,7,0.5398208175621085,63.754753910607675,1,0
growth,monthly,edtech,latam,1955.65,436,10,3,34,0.7086902449787008,60.51552726370982,0,1
growth,monthly,fintech,north_america,1091.78,228,63,4,20,0.5731824924656498,2.9812251340263565,1,1
growth,annual,retail,latam,606.02,150,22,4,40,0.7105554853555694,19.930228104408403,0,0
growth,monthly,logistics,latam,873.65,338,63,6,10,0.645735172369755,79.03192680687759,3,0
growth,annual,retail,europe,947.46,189,64,0,2,0.6731982137442332,30.37817671682981,0,0
starter,monthly,logistics,europe,579.97,123,2,0,18,0.6823802943475323,47.53438740398325,0,0
starter,monthly,healthcare,north_america,1641.2,308,20,2,4,0.5252920394363303,2.3116356984660413,0,0
starter,monthly,fintech,latam,1362.24,325,67,3,17,0.5640343275766033,22.098465628339067,2,0
starter,monthly,retail,north_america,1037.31,272,29,8,34,0.7835924159208224,10.99135897906935,2,1
starter,monthly,logistics,europe,559.54,209,37,6,42,0.9487449255291235,50.22382240379188,0,0
enterprise,monthly,healthcare,north_america,1517.33,149,2,2,20,0.785238603202961,45.702488699479176,1,1
starter,monthly,edtech,latam,820.99,183,58,4,8,0.1179925327098837,57.36655546674809,2,0
starter,annual,fintech,latam,1246.33,393,8,6,17,0.4835603900938959,1.9533090679448986,1,0
starter,monthly,edtech,latam,445.08,163,23,1,12,0.6406490233004603,41.168055313584496,1,0
starter,monthly,retail,latam,1444.67,435,40,2,5,0.422320895127006,28.484414567331978,0,0
growth,monthly,fintech,latam,651.16,68,64,2,35,0.41388427974068837,-30.672495511960506,4,1
growth,monthly,edtech,latam,484.86,75,42,4,32,0.5446309730818757,39.11669340144726,1,1
growth,annual,edtech,north_america,655.85,151,82,4,13,0.6821580884690579,59.008227801678586,1,0
growth,monthly,retail,north_america,364.37,4,44,2,21,0.731156584728533,65.69786432307498,2,1
starter,monthly,healthcare,latam,1564.87,396,22,2,21,0.553877589701601,27.15163895507707,0,0
growth,monthly,fintech,north_america,677.37,155,16,3,19,0.5400575027942573,47.90927844589446,0,1
starter,monthly,logistics,europe,286.5,48,66,4,34,0.46813727901131946,41.0889711342923,0,0
starter,annual,edtech,north_america,1223.08,279,39,7,31,0.7112774343091962,9.756759136975996,1,1
starter,monthly,edtech,europe,888.55,431,51,5,0,0.6991801636321203,6.480071124063395,3,1
growth,annual,edtech,north_america,2317.0,447,31,2,10,0.7832681924951189,26.851028408062867,2,0
growth,monthly,logistics,europe,448.46,51,23,4,43,0.6433554613788407,22.34176856149977,1,1
starter,annual,fintech,north_america,1717.5,357,50,2,18,0.3839831363121624,30.117103505781113,0,0
growth,monthly,retail,latam,753.54,164,25,4,20,0.5571999939384478,17.974367474905176,1,1
starter,monthly,edtech,north_america,1001.96,376,83,2,34,0.7742455251854313,33.099154715994295,3,0
growth,annual,fintech,latam,1494.38,274,61,2,34,0.30761364954030107,2.4065717977138252,2,1
starter,monthly,fintech,north_america,1468.14,330,69,6,25,0.6047309128054358,64.56472792412755,2,0
starter,monthly,edtech,europe,1071.71,377,24,1,41,0.6713270765614171,-15.677832401513507,0,0
starter,annual,logistics,latam,2260.01,403,3,1,26,0.980663735891706,26.055113488564714,1,0
growth,monthly,edtech,europe,553.57,67,4,3,39,0.5117993851880933,23.113820455252327,0,1
starter,annual,fintech,latam,1116.04,326,72,2,20,0.5980981523500296,24.7490642244976,0,0
starter,annual,logistics,latam,250.96,66,73,2,9,0.9237683198872578,7.744967334423801,0,1
starter,annual,fintech,europe,833.57,424,57,6,4,0.5141019152467797,-8.265454368205603,0,0
enterprise,annual,healthcare,north_america,2551.9,283,49,3,24,0.8134470298828537,33.768410716871514,2,0
enterprise,monthly,logistics,latam,1452.6,89,18,4,40,0.6906789184054088,23.082685455421473,0,1
growth,monthly,edtech,north_america,809.34,133,63,5,18,0.5802178015154875,37.227765285498904,0,0
starter,monthly,logistics,latam,1967.45,403,43,9,32,0.7012910810978463,-11.59939178901674,3,1
enterprise,monthly,edtech,north_america,1761.35,291,51,4,23,0.5934478615761296,69.19783297914498,0,0
growth,annual,edtech,north_america,766.12,105,2,2,36,1.0,26.083552699408703,0,0
growth,monthly,healthcare,latam,1438.7,369,43,2,35,0.24819980814117326,-44.99994528511859,1,1
starter,monthly,healthcare,latam,1667.52,324,58,2,31,0.5691560183479398,32.53069566014125,1,0
starter,monthly,logistics,north_america,212.08,37,64,4,15,0.5744318768695681,16.67391952839563,0,0
starter,monthly,logistics,latam,784.64,129,13,1,18,0.5958813137478925,0.8028088513173568,2,1
enterprise,annual,retail,europe,2337.75,380,3,1,21,0.8144764337506405,57.568594474700205,1,1
growth,monthly,retail,north_america,607.55,159,72,2,36,0.5395333696265534,50.313150630187806,0,1
starter,monthly,healthcare,north_america,169.09,19,26,4,27,0.7085672239054237,36.20244839341346,1,1
starter,annual,healthcare,europe,647.73,272,40,1,7,0.6616639753334855,29.848334828629582,0,0
growth,annual,logistics,europe,1179.89,404,53,0,12,0.7709257609381914,40.11645981938069,3,1
starter,monthly,fintech,north_america,959.33,251,41,2,14,0.5953071424058028,-9.87007487734548,0,0
enterprise,annual,retail,latam,2363.1,439,79,3,27,0.6779973236497674,32.60041938548405,1,0
growth,monthly,logistics,north_america,547.33,54,70,3,34,0.5977808486446043,57.70221873744826,0,0
growth,annual,retail,europe,1594.33,301,33,1,6,0.44251035907684544,52.961527362367896,0,0
starter,monthly,retail,north_america,1593.37,293,16,3,32,0.907826571147063,2.78583160629894,0,1
growth,monthly,healthcare,north_america,1520.18,442,81,4,27,0.4828068940957622,32.45344679187118,1,0
growth,annual,fintech,north_america,1181.47,235,59,2,9,0.5338722025921647,1.0529610430042755,0,1
growth,monthly,healthcare,latam,2030.62,370,63,1,6,0.4657719958701032,31.76924822846408,1,0
starter,monthly,fintech,north_america,355.68,67,39,2,6,0.6923638603237108,9.947384949645947,1,0
starter,monthly,fintech,europe,163.77,22,41,1,34,0.5339310829833633,7.119807803906469,0,1
starter,monthly,fintech,latam,694.78,323,16,0,10,0.8927435854001108,36.594699256272335,4,1
growth,monthly,healthcare,latam,358.04,4,36,2,8,0.7161111141809615,10.581899697889876,2,0
starter,monthly,fintech,europe,748.06,394,46,5,18,0.5701677608863458,8.927578923085452,2,1
starter,monthly,logistics,north_america,146.5,12,11,0,29,0.45624490419629593,36.43928664338851,2,1
starter,annual,fintech,north_america,1191.31,310,53,0,19,0.6000727848411503,-7.555939808187421,0,1
growth,annual,retail,north_america,902.05,205,52,3,26,0.7136054849903432,20.271726321648547,1,0
starter,monthly,logistics,europe,1640.88,291,70,5,16,0.6117407521994034,-8.88892815388702,1,0
enterprise,monthly,fintech,north_america,2184.75,281,5,6,19,0.5947361629026211,-4.52052473691675,0,1
growth,monthly,retail,europe,1446.32,201,19,2,26,0.43631544168305286,56.09693716338841,2,1
starter,monthly,logistics,latam,746.67,218,36,3,29,1.0,18.00755090825244,2,1
growth,annual,retail,latam,1258.58,228,74,2,33,0.5837999782460841,10.786231772798754,1,1
starter,monthly,healthcare,latam,934.73,305,20,1,38,0.3725868615715618,48.42265005953324,2,1
enterprise,monthly,edtech,north_america,2873.17,320,81,2,14,0.42649157940090787,66.78383625624842,1,0
growth,monthly,edtech,north_america,861.94,203,80,1,5,0.5580615146698248,34.039140997893256,1,0
growth,monthly,retail,europe,714.64,160,8,1,4,0.9700596532936586,52.49728929147413,1,0
starter,annual,fintech,north_america,188.04,22,31,0,30,0.5893275430401923,14.761037044184057,2,1
growth,annual,fintech,latam,1332.61,351,22,3,19,0.5525356849510031,29.305150257018745,0,0
growth,monthly,logistics,europe,867.75,104,41,3,18,0.7720446094066415,28.175850277284415,2,0
enterprise,monthly,healthcare,north_america,1591.25,197,77,2,33,0.7851832634185244,35.77233090208325,1,1
growth,annual,fintech,north_america,1127.33,446,32,1,30,0.7386357835519108,51.15123528996295,2,1
growth,monthly,retail,north_america,917.21,353,56,2,41,0.6559776688294621,-7.268643662169522,2,0
starter,annual,logistics,north_america,525.0,157,12,1,39,0.4212194643233654,6.637048355680456,2,1
starter,annual,fintech,europe,1114.71,215,48,2,33,0.4848169822262862,16.353342979633524,2,0
growth,monthly,fintech,europe,1116.93,148,30,4,29,0.33363298525017426,4.71619556523263,5,1
starter,annual,retail,north_america,1540.91,282,77,1,40,0.5796866893962879,33.51528841752821,1,0
starter,monthly,edtech,europe,469.99,71,65,2,7,0.5435612015224345,33.21651778441861,2,1
growth,annual,retail,north_america,1502.39,428,18,2,42,0.5248795642129345,29.40658814284236,1,1
enterprise,monthly,logistics,europe,2846.84,444,52,2,18,0.6702673384379874,18.33538046083173,1,0
starter,monthly,fintech,europe,493.69,136,29,2,11,0.5017057809340252,60.3463979352289,1,1
growth,monthly,healthcare,north_america,807.23,106,37,3,24,0.5587162749702849,33.19885029949628,2,0
starter,monthly,retail,latam,1351.96,244,39,5,40,0.532460191598073,24.394916156378546,2,1
growth,monthly,healthcare,europe,979.54,292,69,3,5,0.614267033617282,29.59704055019944,0,0
starter,monthly,retail,north_america,1092.84,290,25,4,7,0.6856347163412166,45.86396175820025,1,1
growth,monthly,edtech,north_america,418.2,21,1,2,28,0.37798403387281776,33.13446321634839,0,1
growth,monthly,healthcare,latam,1990.94,320,17,3,30,0.7015787849120714,7.259307613930717,1,1
growth,monthly,edtech,north_america,510.39,32,69,2,32,0.6675654544540404,70.30818216529244,1,0
starter,annual,fintech,north_america,865.47,155,25,7,40,0.6953527266966721,39.087248271932125,1,1
enterprise,annual,retail,north_america,2648.29,323,5,8,34,0.6439816398692982,0.3516765073501613,1,1
starter,monthly,retail,latam,2161.09,399,34,1,36,0.6850815132769265,-15.581036457884853,1,1
starter,monthly,retail,north_america,1668.52,286,73,2,5,0.5451801049105996,44.53149160195644,1,0
growth,annual,fintech,latam,498.54,74,73,1,16,0.6998062617133116,59.02166070023819,1,0
starter,annual,logistics,north_america,1679.22,307,79,2,31,0.8260220514173923,38.84790788237435,0,1
growth,monthly,logistics,north_america,419.47,19,57,3,36,0.530831449365539,42.70440156959296,1,0
growth,annual,logistics,latam,621.94,106,68,5,16,0.5373629578730903,43.30883711274938,1,0
starter,monthly,logistics,north_america,318.07,58,65,3,26,0.7334909179017579,28.114157507547965,2,1
enterprise,monthly,fintech,latam,2743.86,443,2,4,9,0.5202785884913769,-12.355494577510667,4,1
starter,annual,retail,north_america,710.83,167,35,4,38,0.49053713146664485,11.22688351385046,1,1
growth,annual,healthcare,latam,1102.21,252,44,3,23,0.6959909508906488,47.06965065340997,2,0
starter,annual,logistics,north_america,1552.94,356,39,3,4,0.542515844750017,42.0652156331667,0,0
enterprise,monthly,healthcare,europe,3035.0,436,69,8,25,0.8399143607233622,23.30483319579069,0,1
starter,monthly,healthcare,north_america,880.15,447,82,2,11,0.5360819314748595,14.844444665626845,0,0
starter,monthly,edtech,europe,447.17,76,46,5,20,0.47255920411555247,32.17266909562612,1,0
starter,monthly,fintech,north_america,757.74,179,8,2,15,0.6191385652477811,19.764878322600072,0,0
enterprise,monthly,edtech,north_america,2119.31,184,30,3,37,0.6983774567561878,26.091366415723495,3,1
enterprise,monthly,healthcare,latam,2668.99,358,17,6,38,0.6776570780022768,31.173638319406987,1,1
growth,monthly,edtech,north_america,1186.59,153,40,4,7,0.7170042927215501,9.347021800610326,1,0
enterprise,annual,logistics,latam,1673.74,106,20,3,14,0.5204319101911116,47.20130733501218,2,0
enterprise,monthly,retail,europe,2311.88,340,7,2,18,0.8243888148012658,24.047244308399865,0,0
growth,monthly,healthcare,europe,898.96,224,15,1,38,0.32203732851567113,39.70194127609754,1,1
starter,annual,fintech,latam,1457.88,337,42,0,12,0.47944583073998986,29.523462322923365,1,1
growth,monthly,fintech,europe,949.17,172,12,3,31,0.6269061648523456,65.01440431410423,0,0
growth,annual,fintech,latam,1059.38,220,3,3,2,0.49451872934207647,41.029818410476885,4,0
starter,monthly,retail,north_america,132.7,7,24,2,43,0.56425401650717,37.782282877440245,0,0
starter,monthly,healthcare,europe,150.69,10,54,6,15,0.4433012360611491,36.91079599314338,1,0
growth,annual,healthcare,north_america,358.98,3,53,4,12,0.5825317805492686,78.01550887189677,2,1
starter,monthly,healthcare,north_america,230.52,81,33,2,32,0.7033539056908458,26.94082283254232,2,0
enterprise,monthly,logistics,north_america,1992.64,158,56,4,27,0.5236009710911584,31.933792578770646,1,0
starter,annual,fintech,north_america,140.86,25,16,0,23,0.46178586275112615,30.51522837056692,3,0
starter,monthly,healthcare,north_america,342.99,74,60,1,41,0.5370347070109798,-19.183744085834235,1,1
growth,annual,retail,north_america,1426.16,381,2,2,18,0.8186961598025547,30.232323179421005,1,0
starter,annual,fintech,latam,1229.37,384,12,5,24,0.817203221151444,52.39057701907336,2,0
starter,annual,logistics,europe,634.66,132,77,3,21,0.5339402080590933,40.354757939304626,1,1
growth,monthly,fintech,europe,2446.13,426,39,2,7,0.711491652544076,64.26560685232096,0,1
enterprise,monthly,edtech,north_america,1440.91,55,47,0,14,0.616699785612114,46.853486358928755,2,0
starter,annual,edtech,north_america,154.13,17,33,2,27,0.8511287417334884,40.048922027302325,3,1
starter,monthly,edtech,latam,837.13,161,54,3,5,0.6544819319656029,49.332227684370025,1,0
growth,monthly,edtech,north_america,843.27,121,63,4,32,0.5837202469868914,36.75421825328757,3,0
enterprise,monthly,edtech,north_america,1328.18,37,65,2,26,0.9079779335945412,21.26492420964553,2,1
growth,monthly,retail,latam,1429.67,381,21,7,29,0.45371579252280914,24.915356217415685,1,0
starter,monthly,retail,europe,1617.35,440,53,3,36,0.6774567585877141,-29.192907284346735,2,0
starter,monthly,edtech,north_america,670.45,123,66,1,21,0.8658930467963033,66.28156999165918,3,0
starter,monthly,retail,latam,705.65,143,35,5,35,0.7399088409788876,23.24132579754233,0,1
starter,monthly,retail,latam,1632.27,324,32,5,33,0.48268857748039473,2.957056615115544,1,1
growth,annual,healthcare,europe,2633.27,420,53,7,10,0.4729994825682709,19.20831623045721,2,0
starter,monthly,healthcare,north_america,804.0,131,48,2,12,0.36647215496281105,70.17163003645206,2,1
growth,monthly,retail,europe,1942.83,308,21,0,19,0.8869258851275391,29.7242864254248,0,0
growth,monthly,fintech,europe,407.73,13,80,3,4,0.41607919979861124,34.1670843154798,2,0
growth,monthly,retail,north_america,1750.07,256,47,2,24,0.7484122703643343,78.06863530481655,0,0
starter,annual,fintech,latam,1608.37,444,47,5,41,0.36322794796074764,48.05037174115973,3,1
growth,annual,retail,latam,794.84,215,18,1,36,1.0,21.083656979963532,2,1
growth,monthly,edtech,north_america,1715.67,289,57,6,32,0.3764785174548142,-12.796015239669115,2,1
growth,monthly,retail,latam,1028.61,310,77,5,8,0.6276539085551586,43.33637998872796,1,0
starter,monthly,edtech,north_america,1111.34,285,61,5,36,0.8381708071896855,11.722567304775486,2,1
starter,monthly,fintech,europe,1676.87,309,43,4,5,0.49344687182213354,43.83798436808473,4,1
enterprise,monthly,fintech,north_america,3050.57,399,53,4,18,0.7214788161712153,26.842905334113272,0,0
starter,monthly,edtech,latam,118.34,7,20,1,41,0.5692702390151695,37.81042957848715,5,1
starter,monthly,edtech,north_america,1067.69,398,6,2,34,0.6898745133275,49.50042703774135,0,1
growth,monthly,edtech,latam,1954.02,408,54,5,6,0.8145385877550856,-13.502180281305009,1,0
growth,monthly,edtech,latam,2190.76,407,16,4,23,0.5428933839121861,31.08937292202987,1,0
enterprise,monthly,edtech,latam,1961.15,167,8,3,44,0.8894438662214057,27.563463434167232,4,1
starter,monthly,edtech,latam,1299.26,263,65,3,20,0.6834372154723692,34.91021422629002,3,0
enterprise,monthly,edtech,north_america,1441.83,160,37,2,26,0.9707238571411232,40.10540026759581,2,1
starter,monthly,edtech,north_america,1725.92,378,71,4,17,0.4702496638093322,31.648016114048037,0,0
growth,monthly,fintech,latam,1108.9,184,72,3,22,0.5044261955193117,12.451544199244015,3,1
growth,monthly,fintech,north_america,789.9,142,11,6,23,0.578192065028856,0.8943156444341085,0,1
starter,monthly,retail,europe,1796.8,309,64,2,8,0.4017224889487162,-10.104935480020895,4,0
starter,annual,retail,latam,181.39,25,28,4,42,0.7866590491875848,30.872169625664267,1,1
starter,annual,edtech,europe,403.58,171,59,1,38,0.6063488257695687,40.641130217024504,1,0
enterprise,monthly,healthcare,north_america,1365.17,95,4,5,4,0.4136976422446996,19.791622997803703,2,1
growth,monthly,healthcare,latam,893.68,170,40,1,7,0.47189737573250495,47.937781864504274,0,0
enterprise,annual,edtech,north_america,2004.66,203,53,3,29,0.4634063699588674,25.25257886160499,1,0
growth,annual,healthcare,europe,519.38,31,38,4,18,0.7862587063786795,25.94486947849834,2,0
growth,monthly,logistics,latam,1610.23,389,46,2,30,0.7022917259096827,-6.517469623707889,1,0
growth,monthly,fintech,latam,1065.99,189,1,2,2,0.5961381760129755,17.359203162314035,2,0
starter,monthly,retail,latam,893.25,163,1,4,33,0.5542462664945057,50.09627804970299,2,1
starter,monthly,retail,north_america,398.39,69,50,5,1,0.5770285147620922,61.54118391977116,2,0
growth,monthly,healthcare,latam,2653.61,448,35,2,8,0.9406004829399514,23.432680710674514,0,0
growth,monthly,fintech,europe,1911.17,385,48,2,32,0.5778977527626004,48.81124194922841,0,0
starter,monthly,healthcare,north_america,1243.87,218,30,4,15,0.7743586220618407,61.946431140069336,4,1
growth,monthly,healthcare,europe,966.81,152,1,4,9,0.5607241470557303,5.502894271348562,1,0
growth,monthly,healthcare,europe,773.57,211,59,1,39,0.922849621958846,35.61882472633874,0,1
enterprise,annual,edtech,europe,2441.62,432,12,6,27,0.40054547289187725,32.56797041976994,1,1
growth,monthly,fintech,europe,687.76,101,66,3,12,0.765265507539117,53.80048535494882,2,0
starter,monthly,retail,north_america,1547.71,308,2,2,32,0.48330917893373887,7.9571549738398515,2,1
starter,monthly,fintech,latam,1190.47,406,78,9,6,1.0,35.57700243426502,2,0
starter,annual,logistics,north_america,1279.21,340,22,5,22,0.7455223867306503,21.80052788384478,3,0
growth,monthly,edtech,europe,1286.18,391,75,4,8,0.3133172982835224,38.19932350326762,1,0
enterprise,monthly,logistics,north_america,2477.02,426,1,1,29,0.45233614341703354,57.313364042061195,2,1
growth,monthly,logistics,europe,425.0,29,38,2,12,0.7433274127987028,63.45511058444985,0,1
starter,annual,healthcare,north_america,672.12,109,35,4,10,0.7384025414070027,57.52428932679758,1,0
starter,annual,edtech,north_america,441.87,67,14,5,11,0.7249625017645875,4.233769317448239,1,0
growth,annual,healthcare,north_america,1480.99,256,40,5,36,0.6481851994257207,16.649489424044262,1,1
growth,monthly,logistics,latam,717.21,185,18,3,38,0.5625939820016648,52.152563266331825,0,1
starter,monthly,retail,north_america,209.66,21,37,0,9,0.8156145071706942,42.515840786852245,1,1
starter,monthly,retail,north_america,634.99,252,32,1,7,0.46445180248491713,21.69485122559376,0,0
growth,monthly,logistics,north_america,431.47,48,17,2,26,0.6296180146832404,6.004976589359573,0,0
starter,annual,logistics,north_america,409.18,185,66,1,28,0.5083744594303196,-65.76290262954568,0,0
growth,monthly,logistics,europe,783.87,166,44,4,37,0.4940145150554202,-10.259934861204956,1,0
starter,monthly,fintech,latam,961.01,402,70,0,36,0.5373800199655071,20.668738557115148,1,1
starter,annual,healthcare,north_america,771.22,308,68,2,35,0.48765265835199306,21.033244494239995,1,1
enterprise,monthly,healthcare,north_america,1943.3,282,22,2,1,0.7189484182127451,37.86585364781256,1,0
starter,monthly,retail,north_america,1979.53,374,25,4,2,0.3543016474550283,42.43924578241651,1,1
starter,monthly,retail,north_america,523.95,83,79,4,8,0.6975831375770765,82.21661648017906,0,0
starter,annual,healthcare,north_america,698.6,117,26,2,16,0.505832037511467,9.52435312379088,4,0
starter,annual,edtech,north_america,1668.49,339,8,0,33,0.6254699224928545,-18.828197989200817,2,1
starter,monthly,healthcare,north_america,1493.77,337,46,4,38,0.5899679920498505,5.706399710769756,0,0
starter,annual,edtech,north_america,145.29,12,81,3,32,0.5301401337914895,68.24163999534227,0,0
starter,annual,logistics,europe,662.96,103,20,3,38,0.8383622261153229,28.30929337138468,2,1
starter,annual,retail,north_america,384.91,104,53,3,16,0.5532411873304696,52.29700422829403,2,0
growth,annual,retail,latam,371.18,5,29,3,28,0.7466304209975126,14.491435223033548,0,1
growth,monthly,healthcare,latam,873.42,298,32,2,6,0.7489497353918707,15.96596754454986,1,1
starter,annual,fintech,europe,148.98,27,38,3,4,0.5709348524561012,-13.140618238314216,0,0
starter,monthly,edtech,north_america,1554.47,379,12,2,37,0.3935798451647453,20.06204999151737,1,1
growth,annual,retail,europe,1650.07,264,33,2,18,0.46121383244387604,28.260846343216173,1,1
enterprise,monthly,fintech,europe,2952.09,343,23,2,32,0.8501836841098238,48.82084336050767,2,1
enterprise,annual,logistics,europe,1562.29,225,68,4,43,0.7086591297543833,41.46531259575949,0,0
starter,annual,edtech,europe,1248.84,436,19,1,25,0.6449939821722239,75.69027375974268,0,1
starter,monthly,logistics,north_america,704.4,123,71,0,4,0.5179350643165557,24.308187255931895,0,0
starter,annual,retail,europe,1032.0,252,2,3,29,0.9317279477251436,33.820317859740015,1,1
starter,monthly,logistics,europe,109.81,5,34,3,36,0.463740622152805,27.62559440959382,2,0
growth,monthly,healthcare,north_america,1596.34,375,23,2,12,0.645147638763212,11.317639936347735,1,1
starter,monthly,healthcare,north_america,1290.84,256,38,3,18,0.7103252468400928,37.83192106234735,2,1
starter,annual,logistics,europe,472.3,81,64,5,28,0.384972875611224,21.382965742253045,0,0
starter,monthly,logistics,north_america,1915.4,368,80,4,33,0.48347361327945937,67.91652384358083,0,1
growth,monthly,retail,europe,1054.71,445,61,1,8,0.5376418325820149,9.053438993403558,1,0
